iter	RMSE
0	1.092695292
1	1.090348215
2	1.088129275
3	1.086035958
4	1.084060153
5	1.082189801
6	1.08043151
7	1.078753675
8	1.077174467
9	1.075690858
10	1.074279205
11	1.072951456
12	1.071704783
13	1.070516091
14	1.069371367
15	1.068295706
16	1.067292229
17	1.066290658
18	1.065389861
19	1.064542801
20	1.063729239
21	1.062948197
22	1.062211562
23	1.061497996
24	1.060826705
25	1.060164542
26	1.059559281
27	1.058953231
28	1.058404553
29	1.057859488
30	1.057378588
31	1.056888196
32	1.056452185
33	1.056030446
34	1.055614228
35	1.055205043
36	1.054818262
37	1.054457614
38	1.054096156
39	1.05376248
40	1.053446793
41	1.053154192
42	1.052860858
43	1.052582356
44	1.052297764
45	1.052033518
46	1.051801496
47	1.051555767
48	1.051316655
49	1.051014067
50	1.05073776
51	1.050528175
52	1.050328501
53	1.050127927
54	1.049890109
55	1.04966895
56	1.049450604
57	1.049233558
58	1.049077354
59	1.048927541
60	1.048740392
61	1.048541963
62	1.048399215
63	1.048217975
64	1.048056823
65	1.047907417
66	1.047743145
67	1.047598389
68	1.047449331
69	1.047314066
70	1.047195881
71	1.047058096
72	1.046925856
73	1.046789832
74	1.046692494
75	1.046590965
76	1.046474391
77	1.046345948
78	1.04621666
79	1.046115915
80	1.046008728
81	1.045939051
82	1.045839143
83	1.045755136
84	1.045667283
85	1.045594746
86	1.045515044
87	1.045437238
88	1.045359115
89	1.045301505
90	1.045233719
91	1.045136686
92	1.045066985
93	1.04499683
94	1.044926427
95	1.044861143
96	1.044777958
97	1.044691649
98	1.044636565
99	1.044558001
100	1.044481682
101	1.044411245
102	1.044350016
103	1.04428861
104	1.044213692
105	1.044162461
106	1.044069693
107	1.04402341
108	1.043958555
109	1.043914346
110	1.043855755
111	1.043774257
112	1.043733124
113	1.04366125
114	1.043618761
115	1.04356719
116	1.043513398
117	1.043462237
118	1.043414645
119	1.043363132
120	1.043312658
121	1.043264469
122	1.043204247
123	1.043139861
124	1.043073217
125	1.04302734
126	1.042975775
127	1.042936934
128	1.042882589
129	1.042833305
130	1.042791788
131	1.042745101
132	1.042702783
133	1.042658868
134	1.042595558
135	1.042529053
136	1.042478121
137	1.042429443
138	1.042370179
139	1.042308309
140	1.04225001
141	1.042211628
142	1.0421603
143	1.042090712
144	1.04203851
145	1.042002724
146	1.041955168
147	1.041908305
148	1.041860468
149	1.04182346
150	1.041772113
151	1.041740692
152	1.041703888
153	1.041637013
154	1.041594268
155	1.041533672
156	1.041497382
157	1.041457548
158	1.041366589
159	1.041321089
160	1.041280276
161	1.041229318
162	1.04118475
163	1.041146745
164	1.041102139
165	1.04106632
166	1.041028346
167	1.040989328
168	1.040943464
169	1.040896695
170	1.040851313
171	1.040785634
172	1.040744557
173	1.040705668
174	1.040664101
175	1.040615963
176	1.040571369
177	1.040537165
178	1.040498964
179	1.040456102
180	1.040408441
181	1.040367593
182	1.040320589
183	1.040285473
184	1.040236762
185	1.0401877
186	1.040151885
187	1.040105566
188	1.040070965
189	1.040035981
190	1.039996613
191	1.039966564
192	1.039913386
193	1.039872483
194	1.039834082
195	1.039792237
196	1.03974632
197	1.039707011
198	1.039670622
199	1.039634998
200	1.03957968
201	1.039541408
202	1.039496698
203	1.039452717
204	1.039417711
205	1.039381417
206	1.039340911
207	1.039295043
208	1.0392561
209	1.039226064
210	1.039165295
211	1.039121752
212	1.039083603
213	1.039043851
214	1.039004132
215	1.038962044
216	1.038921139
217	1.038883713
218	1.038841377
219	1.038801198
220	1.038753357
221	1.038712234
222	1.038676542
223	1.038644261
224	1.038600069
225	1.038559115
226	1.038519412
227	1.038471628
228	1.03843342
229	1.038395698
230	1.038354352
231	1.038333278
232	1.038303076
233	1.038258243
234	1.038213861
235	1.038156621
236	1.038115091
237	1.038073142
238	1.038038403
239	1.038001887
240	1.037958992
241	1.037913098
242	1.037876368
243	1.037826777
244	1.037787604
245	1.037748743
246	1.037713575
247	1.03768116
248	1.037644422
249	1.037609076
250	1.037572823
251	1.037541241
252	1.037506484
253	1.037478072
254	1.037439966
255	1.037404998
256	1.037380452
257	1.037339973
258	1.037303257
259	1.037274107
260	1.037236796
261	1.03719788
262	1.037158962
263	1.037114777
264	1.037070799
265	1.037031911
266	1.036999231
267	1.036957794
268	1.0369256
269	1.036884718
270	1.03685287
271	1.03681673
272	1.036765449
273	1.036724596
274	1.036684195
275	1.036648259
276	1.036608099
277	1.036568776
278	1.036530462
279	1.036483005
280	1.036409407
281	1.036378382
282	1.036355837
283	1.036318528
284	1.036288756
285	1.036247571
286	1.036203835
287	1.036163833
288	1.036125226
289	1.036090911
290	1.036054151
291	1.036012223
292	1.035972353
293	1.035939918
294	1.03588964
295	1.035845785
296	1.035805839
297	1.035769592
298	1.035732577
299	1.035705722
300	1.035667482
301	1.035627529
302	1.035596131
303	1.03555855
304	1.035528303
305	1.035486423
306	1.035447965
307	1.035410938
308	1.035377612
309	1.035337264
310	1.035298031
311	1.035258274
312	1.035196852
313	1.035163695
314	1.035126762
315	1.035093148
316	1.035053067
317	1.035017599
318	1.034975663
319	1.034936767
320	1.034904719
321	1.034869909
322	1.034830974
323	1.034792631
324	1.034752994
325	1.034710629
326	1.034672282
327	1.034620509
328	1.034576111
329	1.034539192
330	1.03449507
331	1.034461435
332	1.034423883
333	1.034362622
334	1.034327129
335	1.034286775
336	1.034254007
337	1.034211307
338	1.034176333
339	1.034149683
340	1.03410404
341	1.034064342
342	1.034030798
343	1.033991026
344	1.03394688
345	1.033901823
346	1.033860578
347	1.033827062
348	1.033797884
349	1.033762827
350	1.033734311
351	1.033686411
352	1.033649495
353	1.033616288
354	1.033565477
