iter	Passed	Remaining
0	16	16134
1	31	15748
2	46	15486
3	61	15337
4	76	15263
5	91	15217
6	107	15200
7	122	15144
8	137	15092
9	152	15090
10	167	15072
11	182	15033
12	197	15020
13	213	15018
14	228	14993
15	243	14954
16	258	14922
17	272	14886
18	288	14887
19	303	14858
20	318	14836
21	333	14828
22	348	14808
23	364	14824
24	379	14800
25	394	14779
26	409	14764
27	425	14756
28	439	14729
29	454	14709
30	469	14688
31	485	14678
32	500	14659
33	515	14643
34	530	14622
35	545	14607
36	560	14588
37	577	14612
38	593	14633
39	609	14616
40	624	14600
41	639	14579
42	654	14558
43	669	14540
44	684	14520
45	699	14509
46	714	14492
47	730	14478
48	745	14459
49	760	14448
50	775	14426
51	791	14421
52	806	14412
53	821	14399
54	836	14377
55	852	14363
56	867	14352
57	882	14338
58	899	14353
59	915	14340
60	930	14327
61	946	14315
62	961	14295
63	976	14280
64	991	14263
65	1006	14242
66	1021	14230
67	1037	14215
68	1051	14192
69	1066	14175
70	1081	14149
71	1096	14136
72	1111	14116
73	1127	14111
74	1143	14106
75	1159	14095
76	1174	14080
77	1189	14065
78	1204	14047
79	1219	14026
80	1234	14006
81	1250	13995
82	1267	14001
83	1284	14002
84	1301	14013
85	1318	14008
86	1335	14015
87	1352	14013
88	1367	13993
89	1382	13976
90	1397	13962
91	1412	13945
92	1427	13926
93	1442	13907
94	1456	13875
95	1471	13856
96	1486	13835
97	1501	13816
98	1515	13792
99	1530	13776
100	1545	13756
101	1560	13734
102	1575	13717
103	1590	13699
104	1605	13680
105	1618	13654
106	1634	13638
107	1647	13609
108	1662	13592
109	1676	13563
110	1690	13540
111	1705	13524
112	1720	13502
113	1734	13483
114	1748	13459
115	1763	13435
116	1778	13420
117	1792	13399
118	1806	13377
119	1821	13358
120	1835	13334
121	1849	13312
122	1864	13297
123	1879	13278
124	1894	13261
125	1908	13239
126	1922	13218
127	1937	13199
128	1952	13182
129	1967	13164
130	1981	13142
131	1995	13121
132	2009	13101
133	2024	13083
134	2039	13066
135	2053	13047
136	2068	13029
137	2082	13010
138	2097	12991
139	2112	12974
140	2126	12955
141	2141	12942
142	2156	12922
143	2172	12911
144	2187	12900
145	2203	12887
146	2218	12875
147	2234	12863
148	2249	12849
149	2265	12835
150	2280	12822
151	2294	12803
152	2309	12785
153	2323	12766
154	2339	12753
155	2355	12741
156	2370	12725
157	2385	12711
158	2401	12700
159	2416	12687
160	2431	12672
161	2446	12657
162	2462	12644
163	2477	12628
164	2492	12614
165	2506	12595
166	2522	12579
167	2537	12564
168	2552	12552
169	2568	12540
170	2583	12523
171	2599	12513
172	2614	12500
173	2629	12482
174	2643	12464
175	2659	12451
176	2675	12439
177	2690	12425
178	2704	12405
179	2720	12393
180	2736	12381
181	2751	12367
182	2767	12354
183	2782	12339
184	2797	12324
185	2812	12309
186	2828	12297
187	2844	12283
188	2858	12266
189	2873	12248
190	2888	12235
191	2902	12213
192	2917	12198
193	2931	12181
194	2946	12163
195	2960	12144
196	2975	12128
197	2990	12113
198	3004	12093
199	3018	12075
200	3033	12056
201	3047	12037
202	3061	12021
203	3075	12001
204	3090	11984
205	3104	11967
206	3118	11948
207	3133	11931
208	3148	11914
209	3160	11891
210	3175	11875
211	3190	11858
212	3205	11842
213	3219	11824
214	3234	11808
215	3249	11793
216	3263	11773
217	3277	11757
218	3292	11741
219	3306	11724
220	3322	11709
221	3339	11703
222	3355	11691
223	3370	11676
224	3385	11661
225	3400	11646
226	3415	11629
227	3430	11613
228	3444	11598
229	3459	11581
230	3474	11565
231	3486	11543
232	3501	11525
233	3516	11510
234	3530	11493
235	3545	11476
236	3560	11463
237	3575	11448
238	3591	11435
239	3606	11421
240	3622	11408
241	3638	11396
242	3653	11381
243	3668	11367
244	3684	11353
245	3701	11345
246	3715	11327
247	3730	11310
248	3745	11295
249	3758	11276
250	3774	11262
251	3789	11246
252	3803	11230
253	3817	11211
254	3832	11197
255	3847	11181
256	3861	11162
257	3876	11149
258	3892	11136
259	3906	11117
260	3920	11101
261	3935	11086
262	3950	11070
263	3966	11056
264	3980	11041
265	3995	11025
266	4010	11011
267	4025	10996
268	4040	10980
269	4055	10964
270	4070	10949
271	4085	10933
272	4100	10919
273	4115	10905
274	4130	10890
275	4145	10873
276	4161	10860
277	4176	10846
278	4191	10830
279	4206	10816
280	4222	10803
281	4237	10789
282	4251	10770
283	4266	10755
284	4280	10739
285	4295	10724
286	4311	10711
287	4326	10696
288	4342	10683
289	4357	10667
290	4370	10649
291	4386	10635
292	4401	10621
293	4416	10604
294	4431	10589
295	4447	10576
296	4462	10563
297	4478	10550
298	4493	10535
299	4507	10517
300	4522	10502
301	4538	10488
302	4552	10472
303	4568	10458
304	4583	10443
305	4598	10429
306	4614	10415
307	4629	10401
308	4644	10385
309	4659	10372
310	4675	10357
311	4690	10343
312	4705	10328
313	4720	10312
314	4735	10297
315	4751	10284
316	4768	10274
317	4784	10261
318	4800	10248
319	4815	10232
320	4829	10215
321	4844	10199
322	4859	10186
323	4875	10171
324	4890	10156
325	4905	10142
326	4922	10130
327	4937	10116
328	4953	10102
329	4968	10087
330	4982	10070
331	4997	10054
332	5012	10039
333	5027	10024
334	5041	10007
335	5055	9990
336	5069	9973
337	5084	9957
338	5098	9941
339	5112	9923
340	5127	9908
341	5141	9892
342	5155	9875
343	5170	9859
344	5185	9844
345	5200	9829
346	5216	9815
347	5230	9798
348	5244	9782
349	5258	9765
350	5271	9747
351	5286	9732
352	5301	9716
353	5315	9700
354	5329	9683
355	5344	9667
356	5359	9652
357	5374	9638
358	5388	9620
359	5403	9605
360	5417	9589
361	5432	9573
362	5446	9557
363	5461	9543
364	5477	9529
365	5492	9514
366	5507	9498
367	5521	9482
368	5536	9468
369	5551	9452
370	5566	9438
371	5582	9423
372	5596	9407
373	5610	9391
374	5625	9375
375	5640	9360
376	5654	9344
377	5669	9329
378	5684	9313
379	5699	9298
380	5714	9283
381	5729	9268
382	5743	9252
383	5758	9237
384	5772	9221
